Depth,GR,RHOB,NPHI
1000,85,2.60,0.08
1001,78,2.58,0.10
1002,65,2.55,0.12
1003,55,2.45,0.18
1004,48,2.35,0.22
1005,42,2.30,0.25
1006,38,2.28,0.27
1007,40,2.32,0.24
1008,50,2.40,0.20
1009,62,2.50,0.15
1010,75,2.58,0.10
1011,88,2.62,0.07
1012,90,2.65,0.05
1013,70,2.55,0.12
1014,58,2.48,0.18
1015,46,2.36,0.23
1016,39,2.30,0.26
1017,37,2.27,0.28
1018,41,2.33,0.24
1019,52,2.42,0.19
1020,68,2.52,0.13
1021,82,2.62,0.08
1022,90,2.65,0.06
1023,87,2.63,0.07
1024,79,2.59,0.09
1025,72,2.56,0.11
1026,60,2.50,0.14
1027,52,2.44,0.17
1028,44,2.36,0.21
1029,39,2.31,0.24
1030,35,2.27,0.26
1031,33,2.24,0.28
1032,36,2.26,0.25
1033,40,2.30,0.23
1034,45,2.35,0.21
1035,50,2.40,0.19
1036,57,2.46,0.16
1037,65,2.52,0.13
1038,74,2.57,0.10
1039,83,2.62,0.08
1040,91,2.66,0.06
